EmployeeID,Name,Punctuality,Teamwork,WorkQuality,Communication,Average
10001,Aarav,9,8,8,7,8.00
10002,Saanvi,10,9,9,10,9.50
10003,Vivaan,8,7,8,8,7.75
10004,Diya,10,10,9,9,9.50
10005,Arjun,9,8,9,8,8.50
10006,Ananya,10,9,8,9,9.00
10007,Aditya,8,7,7,8,7.50
10008,Ishaan,9,9,8,8,8.50
10009,Neha,10,10,10,9,9.75
10010,Krishna,7,8,7,7,7.25
10011,Priya,8,9,9,8,8.50
10012,Siddharth,9,8,10,9,9.00
10013,Krish,10,9,9,10,9.50
10014,Shreya,9,8,8,9,8.50
10015,Rahul,7,6,7,6,6.50
10016,Meera,10,9,10,10,9.75
10017,Varun,8,8,8,7,7.75
10018,Shruti,9,9,9,9,9.00
10019,Manish,6,7,6,7,6.50
10020,Riya,10,10,9,10,9.75
10021,Tanvi,9,8,9,9,8.75
10022,Suraj,8,7,8,7,7.50
10023,Kavya,10,9,9,8,9.00
10024,Rohit,7,8,8,7,7.50
10025,Ankit,8,8,7,8,7.75
10026,Sakshi,9,9,8,8,8.50
10027,Devika,10,10,10,10,10.00
10028,Nikhil,8,7,9,8,8.00
10029,Alok,6,6,7,6,6.25
10030,Bhavya,9,8,9,10,9.00
10031,Raj,8,8,9,8,8.25
10032,Anaya,9,9,8,9,8.75
10033,Samar,7,8,7,8,7.50
10034,Avantika,10,9,9,10,9.50
10035,Harsh,8,7,8,7,7.50
10036,Neel,9,8,8,8,8.25
10037,Mahima,10,10,9,9,9.50
10038,Deepak,7,7,8,7,7.25
10039,Anushka,9,9,9,10,9.25
10040,Vikas,8,8,7,8,7.75
10041,Suhana,10,9,10,9,9.50
10042,Adarsh,8,7,9,8,8.00
10043,Pranav,9,8,8,9,8.50
10044,Manasi,10,10,9,10,9.75
10045,Sahil,7,8,7,7,7.25
10046,Rekha,9,9,8,9,8.75
10047,Arnav,8,8,8,8,8.00
10048,Divya,10,9,9,8,9.00
10049,Rishi,7,7,6,7,6.75
10050,Simran,9,10,9,9,9.25
10051,Karan,8,8,7,8,7.75
10052,Pallavi,10,9,8,9,9.00
10053,Naveen,7,6,7,7,6.75
10054,Mridula,9,8,9,9,8.75
10055,Kapil,8,7,8,8,7.75
10056,Shikha,10,10,9,10,9.75
10057,Akshay,8,8,9,8,8.25
10058,Preeti,9,9,8,9,8.75
10059,Sameer,7,7,8,7,7.25
10060,Ila,10,9,10,9,9.50
10061,Rajesh,8,8,7,7,7.50
10062,Anjali,9,9,9,8,8.75
10063,Om,7,6,7,6,6.50
10064,Trisha,10,9,9,10,9.50
10065,Vinod,8,7,8,8,7.75
10066,Mehul,9,8,9,8,8.50
10067,Shweta,10,10,9,9,9.50
10068,Bijay,7,7,6,7,6.75
10069,Arpita,9,8,9,9,8.75
10070,Kunal,8,8,8,7,7.75
10071,Meena,10,9,10,10,9.75
10072,Rohini,9,9,8,9,8.75
10073,Anirudh,7,7,7,8,7.25
10074,Swati,10,10,9,10,9.75
10075,Yash,8,7,8,8,7.75
10076,Leena,9,9,8,9,8.75
10077,Prateek,8,8,8,8,8.00
10078,Kanika,10,9,9,9,9.25
10079,Tarun,7,6,7,7,6.75
10080,Shalini,9,9,10,9,9.25
10081,Rajiv,8,7,8,7,7.50
10082,Anu,10,9,9,10,9.50
10083,Utkarsh,7,8,7,8,7.50
10084,Namita,9,9,8,9,8.75
10085,Vivek,8,8,9,8,8.25
10086,Mona,10,9,9,9,9.25
10087,Kishore,7,7,6,6,6.50
10088,Pooja,9,9,9,8,8.75
10089,Bhanu,8,7,8,7,7.50
10090,Ritika,10,10,9,10,9.75
10091,Gaurav,7,6,7,7,6.75
10092,Prisha,9,9,10,9,9.25
10093,Subhash,8,8,7,8,7.75
10094,Shivani,10,9,9,9,9.25
10095,Amit,7,7,6,7,6.75
10096,Sneha,9,8,9,9,8.75
10097,Varsha,8,9,8,9,8.50
10098,Anup,9,8,9,8,8.50
10099,Shyam,7,7,8,7,7.25
10100,Charu,10,9,10,9,9.50
10101,Rakesh,8,8,7,8,7.75
10102,Neelam,9,10,9,9,9.25
10103,Jyoti,8,7,8,8,7.75
10104,Dinesh,9,8,9,8,8.50
10105,Snehal,10,10,9,10,9.75
10106,Priyank,7,7,6,7,6.75
10107,Ankita,9,8,9,9,8.75
10108,Ram,8,8,7,7,7.50
10109,Malini,10,9,9,10,9.50
10110,Hemant,7,6,7,6,6.50
10111,Chitra,9,9,8,9,8.75
10112,Asha,8,8,9,8,8.25
10113,Dev,9,8,8,8,8.25
10114,Sunita,10,10,10,9,9.75
10115,Ritesh,7,7,6,7,6.75
10116,Geeta,9,9,8,9,8.75
10117,Sudhir,8,7,8,8,7.75
10118,Kavindra,9,8,9,8,8.50
10119,Bindu,10,9,9,10,9.50
10120,Harika,8,8,8,9,8.25
10121,Nitin,7,7,7,6,6.75
10122,Rhea,10,9,10,9,9.50
10123,Prabhat,8,8,9,8,8.25
10124,Shobha,9,9,8,9,8.75
10125,Arun,7,6,7,7,6.75
10126,Juhi,10,9,9,10,9.50
10127,Mukul,8,7,8,8,7.75
10128,Smita,9,8,9,9,8.75
10129,Tejas,8,8,7,8,7.75
10130,Rima,10,9,9,10,9.50
